CustomerID,Age,Gender,Geography,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,56,Female,Germany,3,22739.93,1,1,0,138256.47,0
2,69,Female,France,9,194192.1,2,0,0,131653.33,0
3,46,Male,Germany,5,47334.24,3,0,0,15251.37,1
4,32,Male,Spain,4,181424.0,3,0,1,49234.71,1
5,60,Male,Germany,8,110319.02,4,1,1,62464.12,1
6,25,Male,Spain,8,209063.75,4,0,0,107975.16,0
7,78,Male,Germany,0,202138.85,4,0,1,100809.71,0
8,38,Female,Germany,2,239915.64,2,0,1,34037.42,0
9,56,Male,France,0,62759.46,2,1,0,113157.01,0
10,75,Male,Germany,5,57309.79,2,1,1,31787.92,1
11,36,Male,France,2,7876.99,3,1,1,73900.65,0
12,40,Male,Spain,0,102604.02,2,0,0,91023.53,0
13,28,Male,Spain,5,114765.79,3,1,0,131895.54,1
14,28,Female,France,4,241128.46,1,1,0,98385.08,0
15,41,Male,Spain,7,207696.32,2,1,0,143678.12,1
16,70,Male,Germany,1,41697.93,1,1,0,149229.1,0
17,53,Male,France,7,199622.34,4,0,1,81235.14,1
18,57,Female,France,4,44574.82,1,1,1,17207.17,0
19,41,Female,France,7,19441.27,1,1,1,13964.65,1
20,20,Male,Spain,9,209270.69,3,1,0,129790.74,1
21,39,Male,Spain,3,243989.9,3,1,0,79979.02,1
22,70,Female,Germany,3,22029.64,3,0,1,61351.12,0
23,19,Female,Germany,9,203481.22,3,0,1,49823.85,0
24,41,Female,France,3,214803.16,4,1,0,49450.55,1
25,61,Male,Germany,10,29688.9,1,0,0,20194.78,0
26,47,Male,Spain,5,70813.37,4,0,1,52419.0,0
27,55,Female,Germany,3,183415.16,4,1,1,100272.87,1
28,19,Male,Spain,8,201932.57,3,0,1,63929.39,0
29,77,Female,Germany,8,88493.53,1,1,0,142694.49,1
30,38,Female,Spain,2,39982.35,1,0,1,103543.86,1
31,50,Female,Spain,6,162086.12,4,1,1,130956.73,0
32,29,Male,Germany,4,175492.15,3,0,0,25982.44,1
33,75,Female,Germany,8,125901.96,4,0,1,73072.22,0
34,39,Female,Spain,1,36235.27,1,1,0,15801.41,1
35,78,Male,France,2,211121.69,3,0,1,135301.89,1
36,61,Female,Germany,9,161316.49,4,1,0,30561.61,1
37,42,Male,Spain,4,217291.06,1,0,0,122759.01,0
38,66,Female,Germany,4,233242.27,2,1,0,139333.55,0
39,44,Male,Germany,9,201424.46,3,0,0,71864.36,1
40,76,Female,Germany,6,239664.35,1,0,0,64510.53,1
41,59,Female,Germany,7,238564.44,3,0,1,94016.48,0
42,45,Female,Germany,7,154836.14,1,0,0,113646.2,1
43,77,Female,France,0,182043.53,3,0,1,100385.39,1
44,33,Female,France,0,174852.13,2,1,0,10161.65,0
45,32,Male,France,2,155284.05,4,1,1,120030.94,1
46,79,Male,Spain,0,4838.79,4,1,1,30634.33,1
47,79,Female,France,0,88976.67,4,1,1,72954.68,0
48,64,Female,France,9,25019.58,2,0,0,49529.93,0
49,79,Female,Spain,7,75064.78,3,1,1,139907.05,1
50,68,Male,France,0,17141.2,3,1,1,80295.15,0
51,61,Male,Germany,8,230007.87,1,0,0,83102.48,1
52,72,Female,France,1,112832.48,1,1,1,20660.57,0
53,69,Male,France,8,47341.11,3,0,1,135630.54,1
54,74,Female,France,6,146194.81,2,1,0,43463.85,1
55,20,Female,Germany,8,49112.73,2,0,0,67954.05,1
56,54,Female,Germany,2,201110.08,4,0,0,147941.24,0
57,68,Male,Germany,0,76479.78,4,0,0,25945.32,0
58,24,Female,Germany,0,78725.16,4,1,1,110593.9,0
59,38,Female,Spain,10,217487.74,3,0,1,46418.82,1
60,26,Female,Germany,9,139800.72,1,1,0,68770.61,0
61,56,Male,Germany,5,221825.53,3,0,1,68547.01,0
62,35,Male,Germany,6,103222.01,3,0,1,140512.62,0
63,21,Male,Germany,8,85981.92,2,0,0,11450.73,0
64,42,Female,Spain,5,126550.75,2,0,1,61408.57,1
65,77,Male,France,4,15372.92,1,0,1,129339.27,0
66,31,Female,France,1,38550.19,1,0,0,137471.71,0
67,67,Male,Germany,1,54880.41,3,1,1,53585.45,1
68,75,Female,Germany,7,204169.32,3,0,0,43873.65,1
69,26,Male,Germany,0,183449.69,3,0,1,74577.73,0
70,43,Female,France,7,48326.82,3,1,1,114417.54,0
71,70,Male,France,10,69186.89,2,1,0,31565.4,1
72,19,Male,Germany,9,236065.47,4,0,1,119825.35,1
73,37,Male,France,10,21450.74,4,0,0,81774.14,0
74,45,Female,Spain,6,136863.77,4,0,0,29712.78,0
75,64,Male,Germany,6,130501.75,1,0,0,104046.31,0
76,77,Male,Germany,4,181426.95,1,1,1,97948.11,0
77,24,Male,Spain,2,65358.84,1,1,1,97130.79,1
78,61,Male,Spain,6,233693.16,1,1,0,115670.12,1
79,78,Female,France,6,102645.72,2,1,0,35371.19,1
80,25,Male,Spain,6,71429.9,3,1,0,107649.63,1
81,64,Female,Germany,10,84217.35,1,0,1,134221.21,0
82,52,Female,France,1,87180.59,4,1,0,84243.58,1
83,31,Female,Spain,2,49732.1,1,0,1,78044.16,1
84,34,Female,France,2,232013.48,4,1,0,121690.34,0
85,53,Male,France,3,43718.8,3,1,1,30473.04,1
86,67,Female,France,8,220708.16,2,0,1,57722.36,1
87,57,Female,France,9,101232.3,2,0,1,129529.79,0
88,21,Female,Spain,0,67319.12,1,0,1,79968.4,1
89,19,Female,Germany,6,49627.24,1,0,1,127661.06,1
90,79,Male,Germany,6,126085.58,4,0,1,45261.53,0
91,23,Male,Spain,10,167314.64,1,0,0,64540.44,0
92,71,Female,Germany,3,224555.26,2,1,0,125306.6,0
93,59,Female,France,10,163111.65,1,1,0,32889.34,1
94,21,Female,France,0,120915.62,4,1,1,135268.88,1
95,71,Male,France,2,8369.02,3,1,1,53380.85,1
96,46,Male,Spain,4,228856.73,2,1,1,146177.56,0
97,35,Male,France,1,225592.31,2,1,0,125881.85,1
98,43,Male,France,6,94679.24,3,1,1,73781.93,1
99,61,Male,Spain,9,7258.67,3,1,0,113914.25,0
100,51,Female,France,9,183342.39,2,0,0,87736.71,0
101,27,Male,France,6,197920.22,4,1,0,129454.65,1
102,79,Male,Germany,9,135616.46,4,1,1,82535.25,0
103,53,Female,Spain,4,100718.75,1,0,0,148319.34,0
104,31,Male,France,9,212783.21,4,0,0,28690.97,0
105,48,Male,France,5,48129.1,2,1,1,104705.67,0
106,65,Male,France,0,109889.55,1,0,0,44391.49,1
107,32,Female,France,3,6121.53,4,0,0,36771.88,1
108,25,Male,Germany,3,41002.63,3,0,0,67155.1,0
109,31,Female,Germany,10,235207.81,4,0,1,61444.63,1
110,40,Female,Germany,7,144520.81,1,1,1,16486.94,0
111,77,Male,Germany,1,201398.08,3,0,1,69881.31,0
112,74,Male,Spain,0,121625.1,1,1,1,143268.56,0
113,79,Male,France,6,208706.77,1,0,0,75362.63,0
114,57,Male,Germany,5,134737.63,3,0,1,52254.13,0
115,38,Female,France,4,1134.43,1,0,1,142870.64,0
116,33,Male,Spain,7,224924.75,2,0,0,80801.15,1
117,62,Female,France,10,37141.53,1,0,0,50194.35,1
118,35,Female,France,1,112638.69,2,0,1,119618.53,0
119,64,Female,Germany,1,119168.58,3,0,0,41305.88,1
120,70,Female,Germany,8,11809.07,1,0,0,44684.87,0
121,41,Female,Spain,0,13267.6,4,0,1,55406.48,1
122,43,Male,France,5,190637.95,1,1,1,65267.58,1
123,42,Female,Germany,2,75112.7,2,1,0,91603.05,1
124,77,Female,Germany,4,102407.04,2,1,0,82139.85,0
125,77,Male,Germany,7,141028.13,4,0,1,114122.31,1
126,77,Male,Spain,6,93346.53,3,0,1,110403.92,0
127,62,Female,France,3,193759.36,2,0,1,16378.42,0
128,58,Female,Germany,7,221116.16,2,1,0,28746.61,0
129,46,Male,France,10,14929.47,2,0,0,40126.87,1
130,32,Female,Spain,10,158850.85,1,1,0,93672.93,0
131,62,Male,France,9,79415.0,1,1,1,135337.01,1
132,18,Male,Germany,10,145818.82,1,0,1,55486.93,1
133,42,Female,France,1,120976.83,1,1,1,144924.17,1
134,24,Male,France,6,83419.63,1,0,1,34200.48,0
135,26,Female,Spain,4,23703.91,4,1,1,139462.53,0
136,41,Female,Spain,10,139859.98,2,0,0,122140.3,1
137,18,Female,France,5,28198.14,4,0,0,64464.68,0
138,61,Male,France,2,39030.02,2,0,0,38883.7,1
139,25,Female,France,10,245543.81,1,0,0,64781.0,0
140,41,Male,Spain,9,79176.3,1,0,0,39923.41,1
141,28,Female,Spain,6,146109.05,3,1,0,88561.24,0
142,68,Female,France,6,68057.99,3,0,1,90474.63,1
143,34,Male,Spain,1,216377.36,4,0,1,117546.5,0
144,25,Female,Germany,0,70835.05,2,1,1,83901.11,0
145,52,Female,Spain,9,91721.29,4,1,1,58320.47,1
146,52,Male,Spain,1,152096.89,3,0,0,137623.85,0
147,50,Male,Spain,7,217496.68,2,1,0,20919.8,1
148,76,Male,Germany,10,204053.54,4,0,0,123229.44,0
149,22,Female,Germany,9,65964.97,3,0,1,67340.45,1
150,59,Male,Germany,2,207388.74,1,0,1,35353.92,1
151,56,Male,France,10,175298.83,4,1,1,26849.8,0
152,75,Female,France,3,247457.12,1,0,0,40907.02,1
153,58,Male,Germany,7,233861.92,4,0,0,27073.82,1
154,45,Female,France,2,133284.18,2,0,1,74250.28,0
155,24,Female,France,5,187482.15,2,0,1,58956.55,1
156,26,Male,France,1,142544.93,2,0,1,59922.47,0
157,25,Female,Germany,2,148748.86,2,0,1,31961.56,1
158,29,Male,Spain,0,25375.21,3,0,1,102363.96,0
159,51,Male,Germany,8,561.43,1,1,1,95091.6,1
160,50,Male,Germany,3,12046.59,3,0,0,147520.1,1
161,65,Male,France,5,241657.67,4,0,1,33470.19,0
162,72,Female,France,6,31567.06,4,0,0,126762.16,1
163,40,Female,Spain,1,11097.43,1,1,0,14742.03,1
164,79,Male,Spain,7,77411.05,1,1,1,20264.68,1
165,41,Male,Spain,8,147044.98,3,0,0,100727.23,1
166,54,Female,Spain,9,237115.16,2,0,1,66905.75,1
167,52,Male,Germany,10,174971.89,3,1,1,42270.15,1
168,61,Female,Spain,1,69088.24,3,0,1,10385.91,1
169,57,Male,Germany,4,234764.5,4,0,1,102840.43,1
170,39,Female,France,1,9010.27,3,0,0,71718.8,1
171,44,Female,Spain,10,244763.5,1,0,0,33910.21,1
172,52,Female,France,4,14660.18,2,1,1,146111.35,0
173,18,Male,France,6,188462.49,4,0,0,59117.85,0
174,52,Male,Germany,5,11324.38,1,1,1,52428.36,0
175,54,Male,Spain,3,232890.36,4,0,1,81443.99,0
